coiid,ecoclassidPES,mukey
628217,R018XI999CA,460329
628628,R018XI999CA,460472
637700,R018XC105CA,463277
628226,R018XI999CA,460331
638349,R018XC999CA,2370737
628231,R018XI999CA,460332
637705,R018XC105CA,463278
642863,R018XC999CA,465143
628236,R018XI999CA,460333
638640,F018XC201CA,463634
642864,R018XC999CA,465144
648317,R018XE999CA,2218128
628241,R018XI999CA,460334
638646,F018XC201CA,463635
628656,R018XI999CA,460478
633288,R018XI107CA,461915
638652,F018XC201CA,463636
628249,R018XI999CA,460336
638659,R018XC999CA,463637
628666,R018XI999CA,460480
638664,R018XY999CA,463638
628256,R018XI999CA,460338
638670,R018XC999CA,463639
628260,R018XI999CA,460339
638674,R018XC999CA,463640
628265,R018XI999CA,460340
638677,R018XC999CA,463641
628270,R018XI999CA,460341
638684,R018XC999CA,463642
633325,R018XI999CA,461922
2247850,R018XA999CA,461207
633329,R018XI999CA,461923
633336,R018XI999CA,461924
628277,R018XI999CA,460345
633341,R018XI999CA,461925
628282,R018XI999CA,460346
628288,F018XI205CA,460347
633349,R018XI999CA,461927
628293,F018XI205CA,460348
628298,F018XI205CA,460349
628721,R018XI999CA,460492
628303,R018XI999CA,460350
628308,R018XI999CA,460351
628727,R018XI999CA,460494
633372,R018XI163CA,461931
628312,R018XI999CA,460352
628731,R018XI999CA,460495
633382,R018XI107CA,461932
628316,R018XI999CA,460353
628734,R018XI999CA,460496
633388,R018XI164CA,461933
628321,R018XI999CA,460354
628326,F018XI202CA,460355
633394,R018XI999CA,461935
628331,R018XY999CA,460356
633399,R018XI999CA,461936
628750,R018XI999CA,460500
633406,R018XI999CA,461937
1292767,R018XY999CA,460357
628335,R018XY999CA,460358
628754,R018XI999CA,460501
633412,R018XI999CA,461938
628337,R018XY999CA,460359
628758,R018XI999CA,460502
633421,R018XI999CA,461939
628341,R018XI999CA,460360
628762,R018XI999CA,460503
633427,R018XI999CA,461940
666230,R018XA999CA,471205
628343,R018XI999CA,460361
666233,R018XA999CA,471206
633444,R018XI999CA,461942
666236,R018XA999CA,471207
628774,R018XI999CA,460506
666239,R018XA999CA,471208
628778,R018XI999CA,460507
642738,R018XI999CA,465074
666242,R018XA999CA,471209
628782,F018XI200CA,460508
628786,F018XI200CA,460509
648510,R018XE999CA,2218133
642904,R018XC999CA,465165
666254,R018XA999CA,471212
2247829,R018XI999CA,2599259
642906,R022AO999CA,465166
666265,R018XA999CA,471214
2247839,F018XI202CA,2599262
1326205,R018XA999CA,461509
2517005,R018XI163CA,
628803,R018XI999CA,460514
633490,R018XY999CA,461951
1326206,R018XA999CA,461508
2517018,R018XI163CA,
628807,R018XI999CA,460515
633495,R018XY999CA,461952
1326207,R018XA999CA,461507
2630129,R018XI163CA,
628811,R018XI999CA,460516
2630149,R018XI163CA,
628817,R018XI999CA,460517
659671,R018XA999CA,461399
628822,R018XY999CA,460518
1326635,R018XA999CA,461400
628827,R018XY999CA,460519
628827,R018XY999CA,460519
642908,F022AK999CA,465167
641569,R018XC105CA,464518
1326636,R018XA999CA,461401
2630166,R018XI164CA,
642911,R022AO999CA,465168
641594,R018XC105CA,464527
1326637,R018XA999CA,461402
628834,R018XI999CA,460521
659679,R018XI999CA,461403
628839,R018XI999CA,460522
1327524,R018XI999CA,461404
1327525,R018XI999CA,461406
1327526,R018XI999CA,461405
1109351,R018XA999CA,749373
635784,R018XI999CA,1403431
1330560,R018XA999CA,804235
635785,R018XI999CA,1403432
628863,R018XI999CA,460528
628867,R018XI999CA,460529
628871,R018XI999CA,460530
628875,R018XI999CA,460531
642919,R018XC999CA,465171
642920,R018XC999CA,465172
666354,R018XA999CA,471234
628891,R018XI999CA,460535
633617,R018XI999CA,461973
633634,R018XY999CA,461977
633638,R018XY999CA,461978
628913,R018XI999CA,460540
633643,R018XI999CA,461979
628918,R018XI999CA,460541
633647,R018XI999CA,461980
628923,R018XI999CA,460542
633655,R018XI107CA,461981
628928,F018XI202CA,460543
628933,R018XI999CA,460544
628940,R018XI999CA,460545
633673,R018XI999CA,461984
628947,R018XI999CA,460546
628954,R018XI999CA,460547
633690,R018XY999CA,461986
628958,R018XI999CA,460548
633694,R018XI999CA,461987
628962,R018XI999CA,460549
628966,R018XI999CA,460550
633706,R018XI999CA,461989
628970,R018XI999CA,460551
628974,R018XI999CA,460552
631970,R018XI999CA,461168
650085,R018XA999CA,461305
666672,R018XA999CA,471309
651095,R018XY999CA,461208
1472811,F018XI208CA,1605512
650087,R018XA999CA,461306
1109346,R018XA999CA,461210
651096,R018XA999CA,461209
1093885,R018XA999CA,727224
631974,R018XI999CA,461169
1087379,R017XA999CA,727233
1370477,R017XA999CA,727232
631984,R018XI999CA,461172
1122381,R018XA999CA,767451
631987,R018XY999CA,461173
1370478,R017XA999CA,727236
1421419,R018XY999CA,461175
651117,R018XY999CA,461211
651106,R018XA101CA,461213
651099,R018XA101CA,461214
1102384,F018XA201CA,461394
667386,F018XA201CA,461514
1465639,R018XY999CA,767474
1103182,R018XA999CA,749382
1102388,F018XA201CA,749381
1102392,F018XA201CA,749380
1452580,R018XA999CA,815436
1163200,R018XA999CA,815435
1259934,F018XA201CA,1406608
1415444,F018XA201CA,1406607
1415445,F018XA201CA,1406606
1259931,R018XA999CA,1406601
1259932,R018XA999CA,1406600
1259933,R018XA999CA,1406599
1122872,R018XA999CA,767479
1122880,R018XA999CA,767478
2630174,R018XI164CA,
1109839,R018XA999CA,461179
632015,R018XA999CA,461180
632017,R018XA999CA,461181
642787,R018XC999CA,465102
2406341,R018XY999CA,461182
2406355,R018XY999CA,461183
642788,R018XC999CA,465103
632029,R018XA999CA,461184
632043,R018XA999CA,461186
650079,R018XY999CA,461262
1404725,R018XI163CA,1605511
1472815,R018XI163CA,1605510
1404321,R018XI163CA,1605509
1094109,F018XI201CA,461425
1297559,R018XI163CA,1403440
1325443,F018XI201CA,461424
663572,F018XI201CA,461423
1325753,R018XI105CA,461423
1325754,R018XI105CA,461422
1325755,R018XI105CA,461445
1325756,R018XI105CA,461444
663581,R018XI999CA,461443
1322872,R018XI999CA,461442
1323078,R018XI999CA,461441
1323079,R018XI999CA,461440
1323080,R018XI999CA,461439
663592,R018XI999CA,461438
1321957,R018XI999CA,461437
1321958,R018XI999CA,461436
1321959,R018XI999CA,461435
1325444,F018XI201CA,461434
1325445,F018XI200CA,461515
1325446,F018XI201CA,461541
1297566,R018XI163CA,1540891
667623,F018XI205CA,461540
638629,F018XC201CA,463632
667613,R018XI105CA,461539
642865,R018XC999CA,465144
667398,R018XA999CA,461519
1321691,R018XA999CA,461518
1321692,R018XA999CA,461517
1321693,R018XA999CA,461516
1102395,R018XI105CA,749431
1352296,F018XI205CA,461540
1353433,F018XI205CA,749431
1102398,R018XI999CA,749430
1352305,F018XI205CA,461539
1353278,R018XI999CA,749429
1353279,R018XI999CA,749428
1153750,F018XI200CA,767484
1357493,F018XI200CA,767483
1363739,R018XA102CA,824117
927884,R018XY999CA,461201
1457741,R018XA999CA,461219
1087244,R018XY999CA,461224
650092,R018XA101CA,461266
650090,R018XA101CA,461268
650088,R018XA103CA,461265
651161,R018XA103CA,461237
659695,R018XY999CA,461416
1047328,R018XA999CA,461426
1094136,R018XA999CA,461421
1153755,R018XA999CA,461454
1153758,R018XA999CA,461453
1153760,F018XA202CA,461452
1047375,F018XA202CA,461451
1153762,R018XA104CA,461450
1153766,R018XA999CA,461449
1122909,R018XA999CA,461448
1094155,F018XA201CA,461447
1094156,F018XA201CA,461446
1094157,F018XA201CA,461474
1155756,R018XA999CA,461473
1155759,R018XA999CA,461472
1155760,R018XA999CA,461471
1155763,R018XA999CA,461470
1174003,R018XA999CA,461469
1155772,F018XA201CA,461468
1155773,R022BX999CA,461467
1155774,F018XA201CA,461466
1155775,F018XA201CA,461465
1155776,R018XA999CA,461464
1094079,F018XA201CA,461463
1094088,F018XA201CA,461462
1094089,R018XA999CA,461461
1094090,R018XA999CA,461460
1094097,F018XA201CA,461459
1094098,F018XA201CA,461458
1094099,F018XA201CA,461457
1094100,F018XA201CA,461456
1094907,R018XA999CA,461455
1094912,R018XA999CA,461480
1094916,R018XA999CA,461479
1094102,R018XA999CA,461477
1094103,R018XA103CA,461476
1300414,F018XA201CA,461475
667414,R018XA999CA,461532
667416,R018XA999CA,461531
667418,R018XA999CA,461530
667420,R018XA999CA,461529
